state_region,constituency,voters_elig,votes_cast,votes_adv,votes_total,votes_invalid,votes_lost,invalid_total,valid_total,turnout,party,party_votes,party_percent
Sagaing Region,Hkamti,25477,16445,1662,18107,1091,5,1096,17011,71.07%,National Unity Party (NUP),376,2.21%
Sagaing Region,Hkamti,25477,16445,1662,18107,1091,5,1096,17011,71.07%,Individual 2,3116,18.32%
Sagaing Region,Hkamti,25477,16445,1662,18107,1091,5,1096,17011,71.07%,National League for Democracy (NLD),6931,40.74%
Sagaing Region,Homalin,127338,88006,5777,93783,7387,24,7411,86372,73.65%,Union Solidarity and Development Party (USDP),11819,13.68%
Sagaing Region,Homalin,127338,88006,5777,93783,7387,24,7411,86372,73.65%,National League for Democracy (NLD),36206,41.92%
Sagaing Region,Homalin,127338,88006,5777,93783,7387,24,7411,86372,73.65%,Tai-Leng Nationalities Development Party (T.N.D.P),31704,36.71%
Sagaing Region,Homalin,127338,88006,5777,93783,7387,24,7411,86372,73.65%,National Unity Party (NUP),6643,7.69%
Sagaing Region,Lay Shi,8787,7472,521,7993,372,3,375,7618,90.96%,National League for Democracy (NLD),4687,61.53%
Sagaing Region,Lay Shi,8787,7472,521,7993,372,3,375,7618,90.96%,Union Solidarity and Development Party (USDP),2931,38.47%
Sagaing Region,Lahe,28398,23345,1383,24728,2623,25,2648,22080,87.08%,Union Solidarity and Development Party (USDP),10516,47.63%
Sagaing Region,Lahe,28398,23345,1383,24728,2623,25,2648,22080,87.08%,National League for Democracy (NLD),11564,52.37%
Sagaing Region,Nanyun,25097,20213,461,20674,732,68,800,19874,82.38%,Union Solidarity and Development Party (USDP),6590,33.16%
Sagaing Region,Nanyun,25097,20213,461,20674,732,68,800,19874,82.38%,National League for Democracy (NLD),13284,66.84%
Tanintharyi Region,Dawei,107933,60136,4067,64203,3425,15,3440,60763,59.48%,Union Solidarity and Development Party (USDP),13148,21.64%
Tanintharyi Region,Dawei,107933,60136,4067,64203,3425,15,3440,60763,59.48%,National Democratic Force (NDF),1297,2.13%
Tanintharyi Region,Dawei,107933,60136,4067,64203,3425,15,3440,60763,59.48%,National Unity Party (NUP),968,1.59%
Tanintharyi Region,Dawei,107933,60136,4067,64203,3425,15,3440,60763,59.48%,Dawei Nationality Party,786,1.29%
Tanintharyi Region,Dawei,107933,60136,4067,64203,3425,15,3440,60763,59.48%,National League for Democracy (NLD),43574,71.71%
Tanintharyi Region,Dawei,107933,60136,4067,64203,3425,15,3440,60763,59.48%,National Development Party,990,1.63%
Tanintharyi Region,Launglon,113636,55018,3613,58631,3625,18,3643,54988,51.60%,Individual,983,1.79%
Tanintharyi Region,Launglon,113636,55018,3613,58631,3625,18,3643,54988,51.60%,National League for Democracy (NLD),44773,81.42%
Tanintharyi Region,Launglon,113636,55018,3613,58631,3625,18,3643,54988,51.60%,Dawei Nationality Party,636,1.16%
Tanintharyi Region,Launglon,113636,55018,3613,58631,3625,18,3643,54988,51.60%,Union Solidarity and Development Party (USDP),8596,15.63%
Tanintharyi Region,Thayetchaung,96991,47608,2903,50511,3065,17,3082,47429,52.08%,Union Solidarity and Development Party (USDP),12878,27.15%
Tanintharyi Region,Thayetchaung,96991,47608,2903,50511,3065,17,3082,47429,52.08%,National League for Democracy (NLD),34551,72.85%
Tanintharyi Region,Yebyu,99983,54349,4179,58528,4320,4426,8746,49782,58.54%,Mon National Party,4415,8.87%
Tanintharyi Region,Yebyu,99983,54349,4179,58528,4320,4426,8746,49782,58.54%,National Democratic Force (NDF),1121,2.25%
Tanintharyi Region,Yebyu,99983,54349,4179,58528,4320,4426,8746,49782,58.54%,Union Solidarity and Development Party (USDP),10512,21.12%
Tanintharyi Region,Yebyu,99983,54349,4179,58528,4320,4426,8746,49782,58.54%,National League for Democracy (NLD),31216,62.71%
Tanintharyi Region,Yebyu,99983,54349,4179,58528,4320,4426,8746,49782,58.54%,All Mon Regions Democracy Party,2518,5.06%
Tanintharyi Region,Myeik,171634,118298,6950,125248,6758,1575,8333,116915,72.97%,National League for Democracy (NLD),89325,76.40%
Tanintharyi Region,Myeik,171634,118298,6950,125248,6758,1575,8333,116915,72.97%,Union Solidarity and Development Party (USDP),24278,20.77%
Tanintharyi Region,Myeik,171634,118298,6950,125248,6758,1575,8333,116915,72.97%,National Development Party,1637,1.40%
Tanintharyi Region,Myeik,171634,118298,6950,125248,6758,1575,8333,116915,72.97%,National Unity Party (NUP),1675,1.43%
Tanintharyi Region,Kyunsu,99641,71403,3384,74787,5903,49,5952,68835,75.06%,Union Solidarity and Development Party (USDP),20817,30.24%
Tanintharyi Region,Kyunsu,99641,71403,3384,74787,5903,49,5952,68835,75.06%,National Unity Party (NUP),1396,2.03%
Tanintharyi Region,Kyunsu,99641,71403,3384,74787,5903,49,5952,68835,75.06%,National League for Democracy (NLD),45314,65.83%
Tanintharyi Region,Kyunsu,99641,71403,3384,74787,5903,49,5952,68835,75.06%,Democratic Party (Myanmar),1308,1.90%
Tanintharyi Region,Palaw,90419,51989,4574,56563,2635,,2635,53928,62.56%,National Unity Party (NUP),894,1.66%
Tanintharyi Region,Palaw,90419,51989,4574,56563,2635,,2635,53928,62.56%,National Development Party,1350,2.50%
Tanintharyi Region,Palaw,90419,51989,4574,56563,2635,,2635,53928,62.56%,Union Solidarity and Development Party (USDP),13943,25.85%
Tanintharyi Region,Palaw,90419,51989,4574,56563,2635,,2635,53928,62.56%,National League for Democracy (NLD),37741,69.98%
Tanintharyi Region,Tanintharyi,63373,45331,2865,48196,3704,48,3752,44444,76.05%,Union Solidarity and Development Party (USDP),9185,20.67%
Tanintharyi Region,Tanintharyi,63373,45331,2865,48196,3704,48,3752,44444,76.05%,National Unity Party (NUP),1089,2.45%
Tanintharyi Region,Tanintharyi,63373,45331,2865,48196,3704,48,3752,44444,76.05%,National Development Party,1029,2.32%
Tanintharyi Region,Tanintharyi,63373,45331,2865,48196,3704,48,3752,44444,76.05%,National League for Democracy (NLD),33141,74.57%
Tanintharyi Region,Kawthoung,96344,45132,4110,49242,4256,91,4347,44895,51.11%,National League for Democracy (NLD),30978,69.00%
Tanintharyi Region,Kawthoung,96344,45132,4110,49242,4256,91,4347,44895,51.11%,National Unity Party (NUP),1534,3.42%
Tanintharyi Region,Kawthoung,96344,45132,4110,49242,4256,91,4347,44895,51.11%,Union Solidarity and Development Party (USDP),11585,25.80%
Tanintharyi Region,Kawthoung,96344,45132,4110,49242,4256,91,4347,44895,51.11%,Dawei Nationality Party,798,1.78%
Tanintharyi Region,Bokpyin,45054,29627,3236,32863,1780,12,1792,31071,72.94%,Union Solidarity and Development Party (USDP),11633,37.44%
Tanintharyi Region,Bokpyin,45054,29627,3236,32863,1780,12,1792,31071,72.94%,National League for Democracy (NLD),18375,59.14%
Tanintharyi Region,Bokpyin,45054,29627,3236,32863,1780,12,1792,31071,72.94%,National Unity Party (NUP),1063,3.42%
Bago Region,Bago ,336740,209792,16942,226734,10032,197,10229,216505,67.33%,Union Solidarity and Development Party (USDP),51721,23.89%
Bago Region,Bago ,336740,209792,16942,226734,10032,197,10229,216505,67.33%,National Unity Party (NUP),3723,1.72%
Bago Region,Bago ,336740,209792,16942,226734,10032,197,10229,216505,67.33%,National Development Party,3815,1.76%
Bago Region,Bago ,336740,209792,16942,226734,10032,197,10229,216505,67.33%,Guiding Star Party,3496,1.61%
Bago Region,Bago ,336740,209792,16942,226734,10032,197,10229,216505,67.33%,Confederate Farmers Party (CFP),1595,0.74%
Bago Region,Bago ,336740,209792,16942,226734,10032,197,10229,216505,67.33%,National League for Democracy (NLD),149190,68.91%
Bago Region,Bago ,336740,209792,16942,226734,10032,197,10229,216505,67.33%,Union Democratic Party,1106,0.51%
Bago Region,Bago ,336740,209792,16942,226734,10032,197,10229,216505,67.33%,Union Farmer Force Party,286,0.13%
Bago Region,Bago ,336740,209792,16942,226734,10032,197,10229,216505,67.33%,Myanmar Farmer Development Party,1573,0.73%
Bago Region,Thanatpin,108901,59177,2705,61882,5084,39,5123,56759,56.82%,National Unity Party (NUP),1722,3.03%
Bago Region,Thanatpin,108901,59177,2705,61882,5084,39,5123,56759,56.82%,Union Solidarity and Development Party (USDP),13758,24.24%
Bago Region,Thanatpin,108901,59177,2705,61882,5084,39,5123,56759,56.82%,Myanmar Farmer Development Party,1555,2.74%
Bago Region,Thanatpin,108901,59177,2705,61882,5084,39,5123,56759,56.82%,National League for Democracy (NLD),38554,67.93%
Bago Region,Thanatpin,108901,59177,2705,61882,5084,39,5123,56759,56.82%,National Development Party,1170,2.06%
Bago Region,Kawa ,144982,89460,6768,96228,5711,117,5828,90400,66.37%,Myanmar Farmer Development Party,1737,1.92%
Bago Region,Kawa ,144982,89460,6768,96228,5711,117,5828,90400,66.37%,Union Solidarity and Development Party (USDP),30175,33.38%
Bago Region,Kawa ,144982,89460,6768,96228,5711,117,5828,90400,66.37%,Confederate Farmers Party (CFP),1688,1.87%
Bago Region,Kawa ,144982,89460,6768,96228,5711,117,5828,90400,66.37%,National Development Party,4137,4.58%
Bago Region,Kawa ,144982,89460,6768,96228,5711,117,5828,90400,66.37%,National League for Democracy (NLD),50926,56.33%
Bago Region,Kawa ,144982,89460,6768,96228,5711,117,5828,90400,66.37%,National Unity Party (NUP),1737,1.92%
Bago Region,Waw,129144,72262,5145,77407,5197,28,5225,72182,59.94%,Myanmar Farmer Development Party,2288,3.17%
Bago Region,Waw,129144,72262,5145,77407,5197,28,5225,72182,59.94%,National Democratic Force (NDF),1547,2.14%
Bago Region,Waw,129144,72262,5145,77407,5197,28,5225,72182,59.94%,National League for Democracy (NLD),47650,66.01%
Bago Region,Waw,129144,72262,5145,77407,5197,28,5225,72182,59.94%,Union Farmer Force Party,687,0.95%
Bago Region,Waw,129144,72262,5145,77407,5197,28,5225,72182,59.94%,Union Solidarity and Development Party (USDP),18024,24.97%
Bago Region,Waw,129144,72262,5145,77407,5197,28,5225,72182,59.94%,Individual,674,0.93%
Bago Region,Waw,129144,72262,5145,77407,5197,28,5225,72182,59.94%,National Unity Party (NUP),1312,1.82%
Bago Region,Nyaunglebin ,143636,88984,7410,96394,5211,417,5628,90766,67.11%,National Development Party,2866,3.16%
Bago Region,Nyaunglebin ,143636,88984,7410,96394,5211,417,5628,90766,67.11%,National Unity Party (NUP),3960,4.36%
Bago Region,Nyaunglebin ,143636,88984,7410,96394,5211,417,5628,90766,67.11%,Union Solidarity and Development Party (USDP),23822,26.25%
Bago Region,Nyaunglebin ,143636,88984,7410,96394,5211,417,5628,90766,67.11%,Myanmar Farmer Development Party,3836,4.23%
Bago Region,Nyaunglebin ,143636,88984,7410,96394,5211,417,5628,90766,67.11%,National League for Democracy (NLD),56282,62.01%
Bago Region,Kyauktaga ,177425,107253,5389,112642,7738,73,7811,104831,63.49%,Union Solidarity and Development Party (USDP),29907,28.53%
Bago Region,Kyauktaga ,177425,107253,5389,112642,7738,73,7811,104831,63.49%,National League for Democracy (NLD),67352,64.25%
Bago Region,Kyauktaga ,177425,107253,5389,112642,7738,73,7811,104831,63.49%,National Democratic Force (NDF),2395,2.28%
Bago Region,Kyauktaga ,177425,107253,5389,112642,7738,73,7811,104831,63.49%,National Unity Party (NUP),3610,3.44%
Bago Region,Kyauktaga ,177425,107253,5389,112642,7738,73,7811,104831,63.49%,Myanmar Farmer Development Party,1567,1.49%
Bago Region,Daik-U,143401,88776,5680,94456,5800,147,5947,88509,65.87%,Myanmar Farmer Development Party,4848,5.48%
Bago Region,Daik-U,143401,88776,5680,94456,5800,147,5947,88509,65.87%,National Development Party,1693,1.91%
Bago Region,Daik-U,143401,88776,5680,94456,5800,147,5947,88509,65.87%,National Unity Party (NUP),1616,1.83%
Bago Region,Daik-U,143401,88776,5680,94456,5800,147,5947,88509,65.87%,Federal Union Party (FUP),1070,1.21%
Bago Region,Daik-U,143401,88776,5680,94456,5800,147,5947,88509,65.87%,National League for Democracy (NLD),58525,66.12%
Bago Region,Daik-U,143401,88776,5680,94456,5800,147,5947,88509,65.87%,Union Solidarity and Development Party (USDP),18586,21.00%
Bago Region,Daik-U,143401,88776,5680,94456,5800,147,5947,88509,65.87%,National Democratic Force (NDF),1878,2.12%
Bago Region,Daik-U,143401,88776,5680,94456,5800,147,5947,88509,65.87%,Union Farmer Force Party,293,0.33%
Bago Region,Shwegyin,67192,43824,2748,46572,2621,51,2672,43900,69.31%,National Development Party,1165,2.65%
Bago Region,Shwegyin,67192,43824,2748,46572,2621,51,2672,43900,69.31%,National League for Democracy (NLD),22067,50.27%
Bago Region,Shwegyin,67192,43824,2748,46572,2621,51,2672,43900,69.31%,Myanmar Farmer Development Party,2161,4.92%
Bago Region,Shwegyin,67192,43824,2748,46572,2621,51,2672,43900,69.31%,Union Solidarity and Development Party (USDP),15900,36.22%
Bago Region,Shwegyin,67192,43824,2748,46572,2621,51,2672,43900,69.31%,National Unity Party (NUP),2607,5.94%
Bago Region,Taungoo,181289,124796,9693,134489,10698,352,11050,123439,74.18%,Myanmar Farmer Development Party,4224,3.42%
Bago Region,Taungoo,181289,124796,9693,134489,10698,352,11050,123439,74.18%,Union Solidarity and Development Party (USDP),37499,30.38%
Bago Region,Taungoo,181289,124796,9693,134489,10698,352,11050,123439,74.18%,National League for Democracy (NLD),76617,62.07%
Bago Region,Taungoo,181289,124796,9693,134489,10698,352,11050,123439,74.18%,National Development Party,2693,2.18%
Bago Region,Taungoo,181289,124796,9693,134489,10698,352,11050,123439,74.18%,People's Party of Myanmar Farmers and Workers,1127,0.91%
Bago Region,Taungoo,181289,124796,9693,134489,10698,352,11050,123439,74.18%,National Unity Party (NUP),1279,1.04%
Bago Region,Yedashe,148009,98202,5564,103766,5740,221,5961,97805,70.11%,National League for Democracy (NLD),45052,46.06%
Bago Region,Yedashe,148009,98202,5564,103766,5740,221,5961,97805,70.11%,National Unity Party (NUP),6236,6.38%
Bago Region,Yedashe,148009,98202,5564,103766,5740,221,5961,97805,70.11%,National Democratic Force (NDF),1772,1.81%
Bago Region,Yedashe,148009,98202,5564,103766,5740,221,5961,97805,70.11%,Myanmar Farmer Development Party,2302,2.35%
Bago Region,Yedashe,148009,98202,5564,103766,5740,221,5961,97805,70.11%,Union Solidarity and Development Party (USDP),38443,39.31%
Bago Region,Yedashe,148009,98202,5564,103766,5740,221,5961,97805,70.11%,People's Party of Myanmar Farmers and Workers,1297,1.33%
Bago Region,Yedashe,148009,98202,5564,103766,5740,221,5961,97805,70.11%,National Development Party,2703,2.76%
Bago Region,Kyaukkyi,74147,49266,2180,51446,4754,387,5141,46305,69.38%,Kayin People Party,3121,6.74%
Bago Region,Kyaukkyi,74147,49266,2180,51446,4754,387,5141,46305,69.38%,National Unity Party (NUP),6570,14.19%
Bago Region,Kyaukkyi,74147,49266,2180,51446,4754,387,5141,46305,69.38%,Myanmar Farmer Development Party,3059,6.61%
Bago Region,Kyaukkyi,74147,49266,2180,51446,4754,387,5141,46305,69.38%,National League for Democracy (NLD),17524,37.84%
Bago Region,Kyaukkyi,74147,49266,2180,51446,4754,387,5141,46305,69.38%,Union Solidarity and Development Party (USDP),16031,34.62%
Bago Region,Phyu,189204,120364,5655,126019,9301,559,9860,116159,66.60%,Individual,10081,8.68%
Bago Region,Phyu,189204,120364,5655,126019,9301,559,9860,116159,66.60%,National Democratic Force (NDF),1691,1.46%
Bago Region,Phyu,189204,120364,5655,126019,9301,559,9860,116159,66.60%,National Unity Party (NUP),2718,2.34%
Bago Region,Phyu,189204,120364,5655,126019,9301,559,9860,116159,66.60%,Myanmar Farmer Development Party,1529,1.32%
Bago Region,Phyu,189204,120364,5655,126019,9301,559,9860,116159,66.60%,Individual 2,1197,1.03%
Bago Region,Phyu,189204,120364,5655,126019,9301,559,9860,116159,66.60%,Union Solidarity and Development Party (USDP),44173,38.03%
Bago Region,Phyu,189204,120364,5655,126019,9301,559,9860,116159,66.60%,National League for Democracy (NLD),54770,47.15%
Bago Region,Oktwin,114798,75959,3424,79383,3729,82,3811,75572,69.15%,National League for Democracy (NLD),44350,58.69%
Bago Region,Oktwin,114798,75959,3424,79383,3729,82,3811,75572,69.15%,Union Solidarity and Development Party (USDP),25570,33.84%
Bago Region,Oktwin,114798,75959,3424,79383,3729,82,3811,75572,69.15%,Democracy and Peace Party,458,0.61%
Bago Region,Oktwin,114798,75959,3424,79383,3729,82,3811,75572,69.15%,Myanmar Farmer Development Party,1323,1.75%
Bago Region,Oktwin,114798,75959,3424,79383,3729,82,3811,75572,69.15%,National Development Party,1756,2.32%
Bago Region,Oktwin,114798,75959,3424,79383,3729,82,3811,75572,69.15%,People's Party of Myanmar Farmers and Workers,686,0.91%
Bago Region,Oktwin,114798,75959,3424,79383,3729,82,3811,75572,69.15%,National Unity Party (NUP),1429,1.89%
Bago Region,Htantabin,83764,55213,3126,58339,3521,65,3586,54753,69.65%,Union Solidarity and Development Party (USDP),19518,35.65%
Bago Region,Htantabin,83764,55213,3126,58339,3521,65,3586,54753,69.65%,National League for Democracy (NLD),29309,53.53%
Bago Region,Htantabin,83764,55213,3126,58339,3521,65,3586,54753,69.65%,Pao National Organisation (PNO),3825,6.99%
Bago Region,Htantabin,83764,55213,3126,58339,3521,65,3586,54753,69.65%,National Unity Party (NUP),647,1.18%
Bago Region,Htantabin,83764,55213,3126,58339,3521,65,3586,54753,69.65%,National Development Party,1066,1.95%
Bago Region,Htantabin,83764,55213,3126,58339,3521,65,3586,54753,69.65%,Myanmar Farmer Development Party,388,0.71%
Bago Region,Pyay,173718,126116,9119,135235,6107,,6107,129128,77.85%,National Development Party,2787,2.16%
Bago Region,Pyay,173718,126116,9119,135235,6107,,6107,129128,77.85%,National League for Democracy (NLD),90708,70.25%
Bago Region,Pyay,173718,126116,9119,135235,6107,,6107,129128,77.85%,Myanmar Farmer Development Party,1148,0.89%
Bago Region,Pyay,173718,126116,9119,135235,6107,,6107,129128,77.85%,Union Solidarity and Development Party (USDP),31901,24.70%
Bago Region,Pyay,173718,126116,9119,135235,6107,,6107,129128,77.85%,National Unity Party (NUP),2050,1.59%
Bago Region,Pyay,173718,126116,9119,135235,6107,,6107,129128,77.85%,The Union of Myanmar Federation of National Politic,534,0.41%
Bago Region,Paukkhaung,92385,67465,4606,72071,2468,0,2468,69603,78.01%,National Unity Party (NUP),1659,2.38%
Bago Region,Paukkhaung,92385,67465,4606,72071,2468,0,2468,69603,78.01%,National League for Democracy (NLD),39807,57.19%
Bago Region,Paukkhaung,92385,67465,4606,72071,2468,0,2468,69603,78.01%,National Development Party,1705,2.45%
Bago Region,Paukkhaung,92385,67465,4606,72071,2468,0,2468,69603,78.01%,Myanmar Farmer Development Party,510,0.73%
Bago Region,Paukkhaung,92385,67465,4606,72071,2468,0,2468,69603,78.01%,Union Solidarity and Development Party (USDP),25922,37.24%
Bago Region,Padaung,108468,82658,8245,90903,4305,311,4616,86287,83.81%,National League for Democracy (NLD),49769,57.68%
Bago Region,Padaung,108468,82658,8245,90903,4305,311,4616,86287,83.81%,Asho Chin National Party,1714,1.99%
Bago Region,Padaung,108468,82658,8245,90903,4305,311,4616,86287,83.81%,National Unity Party (NUP),1766,2.05%
Bago Region,Padaung,108468,82658,8245,90903,4305,311,4616,86287,83.81%,Union Solidarity and Development Party (USDP),31054,35.99%
Bago Region,Padaung,108468,82658,8245,90903,4305,311,4616,86287,83.81%,National Development Party,1984,2.30%
Bago Region,Paungde,105941,76324,5740,82064,4908,96,5004,77060,77.46%,National Development Party,1466,1.90%
Bago Region,Paungde,105941,76324,5740,82064,4908,96,5004,77060,77.46%,Myanmar Farmer Development Party,1222,1.59%
Bago Region,Paungde,105941,76324,5740,82064,4908,96,5004,77060,77.46%,National Unity Party (NUP),1695,2.20%
Bago Region,Paungde,105941,76324,5740,82064,4908,96,5004,77060,77.46%,The 88 Generation Students Youth (Union of Myanmar),2880,3.74%
Bago Region,Paungde,105941,76324,5740,82064,4908,96,5004,77060,77.46%,National League for Democracy (NLD),52703,68.39%
Bago Region,Paungde,105941,76324,5740,82064,4908,96,5004,77060,77.46%,Union Solidarity and Development Party (USDP),17094,22.18%
Bago Region,Thegon,104419,78830,6702,85532,5161,16,5177,80355,81.91%,Myanmar Farmer Development Party,2352,2.93%
Bago Region,Thegon,104419,78830,6702,85532,5161,16,5177,80355,81.91%,Union Solidarity and Development Party (USDP),23052,28.69%
Bago Region,Thegon,104419,78830,6702,85532,5161,16,5177,80355,81.91%,National Unity Party (NUP),1240,1.54%
Bago Region,Thegon,104419,78830,6702,85532,5161,16,5177,80355,81.91%,The Union of Myanmar Federation of National Politic,1688,2.10%
Bago Region,Thegon,104419,78830,6702,85532,5161,16,5177,80355,81.91%,National League for Democracy (NLD),52023,64.74%
Bago Region,Shwedaung,101158,75234,5682,80916,4789,40,4829,76087,79.99%,Union Solidarity and Development Party (USDP),19712,25.91%
Bago Region,Shwedaung,101158,75234,5682,80916,4789,40,4829,76087,79.99%,National Unity Party (NUP),1789,2.35%
Bago Region,Shwedaung,101158,75234,5682,80916,4789,40,4829,76087,79.99%,National League for Democracy (NLD),53589,70.43%
Bago Region,Shwedaung,101158,75234,5682,80916,4789,40,4829,76087,79.99%,Myanmar Farmer Development Party,997,1.31%
Bago Region,Thayarwady,110222,79825,6719,86544,5016,487,5503,81041,78.52%,Myanmar Farmer Development Party,2745,3.39%
Bago Region,Thayarwady,110222,79825,6719,86544,5016,487,5503,81041,78.52%,Union Solidarity and Development Party (USDP),31220,38.52%
Bago Region,Thayarwady,110222,79825,6719,86544,5016,487,5503,81041,78.52%,National Unity Party (NUP),2308,2.85%
Bago Region,Thayarwady,110222,79825,6719,86544,5016,487,5503,81041,78.52%,National Development Party,711,0.88%
Bago Region,Thayarwady,110222,79825,6719,86544,5016,487,5503,81041,78.52%,Democratic Party (Myanmar),783,0.97%
Bago Region,Thayarwady,110222,79825,6719,86544,5016,487,5503,81041,78.52%,National League for Democracy (NLD),43274,53.40%
Bago Region,Letpadan,129228,90010,4796,94806,5218,25,5243,89563,73.36%,National League for Democracy (NLD),63285,70.66%
Bago Region,Letpadan,129228,90010,4796,94806,5218,25,5243,89563,73.36%,Union Solidarity and Development Party (USDP),20844,23.27%
Bago Region,Letpadan,129228,90010,4796,94806,5218,25,5243,89563,73.36%,National Unity Party (NUP),1455,1.62%
Bago Region,Letpadan,129228,90010,4796,94806,5218,25,5243,89563,73.36%,Myanmar Farmer Development Party,2548,2.84%
Bago Region,Letpadan,129228,90010,4796,94806,5218,25,5243,89563,73.36%,National Development Party,738,0.82%
Bago Region,Letpadan,129228,90010,4796,94806,5218,25,5243,89563,73.36%,National Democratic Force (NDF),693,0.77%
Bago Region,Minhla,93832,66138,4665,70803,3894,42,3936,66867,75.46%,National Unity Party (NUP),1271,1.90%
Bago Region,Minhla,93832,66138,4665,70803,3894,42,3936,66867,75.46%,Myanmar Farmer Development Party,3017,4.51%
Bago Region,Minhla,93832,66138,4665,70803,3894,42,3936,66867,75.46%,Union Solidarity and Development Party (USDP),17406,26.03%
Bago Region,Minhla,93832,66138,4665,70803,3894,42,3936,66867,75.46%,National Development Party,1978,2.96%
Bago Region,Minhla,93832,66138,4665,70803,3894,42,3936,66867,75.46%,National League for Democracy (NLD),43195,64.60%
Bago Region,Okpho,95620,67450,4902,72352,4420,95,4515,67837,75.67%,Myanmar Farmer Development Party,2180,3.21%
Bago Region,Okpho,95620,67450,4902,72352,4420,95,4515,67837,75.67%,National Development Party,1523,2.25%
Bago Region,Okpho,95620,67450,4902,72352,4420,95,4515,67837,75.67%,National League for Democracy (NLD),44743,65.96%
Bago Region,Okpho,95620,67450,4902,72352,4420,95,4515,67837,75.67%,Union Solidarity and Development Party (USDP),17492,25.79%
Bago Region,Okpho,95620,67450,4902,72352,4420,95,4515,67837,75.67%,National Democratic Force (NDF),1041,1.53%
Bago Region,Okpho,95620,67450,4902,72352,4420,95,4515,67837,75.67%,National Unity Party (NUP),858,1.26%
Bago Region,Zigon,53234,40986,3109,44095,2428,344,2772,41323,82.83%,National Development Party,612,1.48%
Bago Region,Zigon,53234,40986,3109,44095,2428,344,2772,41323,82.83%,Union Solidarity and Development Party (USDP),24952,60.38%
Bago Region,Zigon,53234,40986,3109,44095,2428,344,2772,41323,82.83%,National Unity Party (NUP),298,0.72%
Bago Region,Zigon,53234,40986,3109,44095,2428,344,2772,41323,82.83%,National League for Democracy (NLD),14521,35.14%
Bago Region,Zigon,53234,40986,3109,44095,2428,344,2772,41323,82.83%,Myanmar Farmer Development Party,940,2.27%
Bago Region,Nattalin,131731,100637,5769,106406,5888,79,5967,100439,80.78%,Union Solidarity and Development Party (USDP),27097,26.98%
Bago Region,Nattalin,131731,100637,5769,106406,5888,79,5967,100439,80.78%,National League for Democracy (NLD),69658,69.35%
Bago Region,Nattalin,131731,100637,5769,106406,5888,79,5967,100439,80.78%,Myanmar Farmer Development Party,2238,2.23%
Bago Region,Nattalin,131731,100637,5769,106406,5888,79,5967,100439,80.78%,National Unity Party (NUP),1446,1.44%
Bago Region,Monyo,96417,70613,3532,74145,5475,454,5929,68216,76.90%,National League for Democracy (NLD),42504,62.31%
Bago Region,Monyo,96417,70613,3532,74145,5475,454,5929,68216,76.90%,Myanmar Farmer Development Party,5210,7.64%
Bago Region,Monyo,96417,70613,3532,74145,5475,454,5929,68216,76.90%,Union Solidarity and Development Party (USDP),19284,28.27%
Bago Region,Monyo,96417,70613,3532,74145,5475,454,5929,68216,76.90%,National Unity Party (NUP),1218,1.79%
Bago Region,Gyobingauk,91714,65346,5436,70782,4156,24,4180,66602,77.18%,National Unity Party (NUP),823,1.24%
Bago Region,Gyobingauk,91714,65346,5436,70782,4156,24,4180,66602,77.18%,Democratic Party (Myanmar),2265,3.40%
Bago Region,Gyobingauk,91714,65346,5436,70782,4156,24,4180,66602,77.18%,Myanmar Farmer Development Party,3902,5.86%
Bago Region,Gyobingauk,91714,65346,5436,70782,4156,24,4180,66602,77.18%,National League for Democracy (NLD),40858,61.35%
Bago Region,Gyobingauk,91714,65346,5436,70782,4156,24,4180,66602,77.18%,National Development Party,1153,1.73%
Bago Region,Gyobingauk,91714,65346,5436,70782,4156,24,4180,66602,77.18%,Union Solidarity and Development Party (USDP),17601,26.43%
Magway Region,Magway,215698,155016,8050,163066,2071,35,2106,160960,75.60%,National Development Party,1995,1.24%
Magway Region,Magway,215698,155016,8050,163066,2071,35,2106,160960,75.60%,Union Solidarity and Development Party (USDP),42726,26.54%
Magway Region,Magway,215698,155016,8050,163066,2071,35,2106,160960,75.60%,Myanmar Farmer Development Party,1017,0.63%
Magway Region,Magway,215698,155016,8050,163066,2071,35,2106,160960,75.60%,National Democratic Force (NDF),1682,1.04%
Magway Region,Magway,215698,155016,8050,163066,2071,35,2106,160960,75.60%,National League for Democracy (NLD),107580,66.84%
Magway Region,Magway,215698,155016,8050,163066,2071,35,2106,160960,75.60%,National Unity Party (NUP),2575,1.60%
Magway Region,Magway,215698,155016,8050,163066,2071,35,2106,160960,75.60%,The 88 Generation Students Youth (Union of Myanmar),3385,2.10%
Magway Region,Yenangyaung,119541,75794,5664,81458,3467,934,4401,77057,68.14%,National Unity Party (NUP),1722,2.23%
Magway Region,Yenangyaung,119541,75794,5664,81458,3467,934,4401,77057,68.14%,Individual,310,0.40%
Magway Region,Yenangyaung,119541,75794,5664,81458,3467,934,4401,77057,68.14%,Union Solidarity and Development Party (USDP),22685,29.44%
Magway Region,Yenangyaung,119541,75794,5664,81458,3467,934,4401,77057,68.14%,National League for Democracy (NLD),52061,67.56%
Magway Region,Yenangyaung,119541,75794,5664,81458,3467,934,4401,77057,68.14%,United Democratic Party (UDP),279,0.36%
Magway Region,Chauk,156538,105456,5858,111314,5989,74,6063,105251,71.11%,National League for Democracy (NLD),77665,73.79%
